date,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,hosp_patients,icu_patients,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence
2020-01-14,South America,Brazil,0,7927,0,0,39767147,14776,0.15426427106515,220.51740292281,61245332,0,0,85841,8544,0.867170062170668,10.0384150970528,212600000,830.726962621841,44.6553998095404,10.5638424433052,18.1451769738845,38812.791796817,14.1047102155534,219.410046864795,4.29337085064455
2020-01-19,South America,Brazil,124579,6269,2356,2356,75924188,11226,0.883758528338489,3.90420009019082,34576247,0,0,24877,7684,0.758717946755263,92.5449446594041,212600000,987.324014674499,24.7019934413323,24.346213201898,19.9425866332979,2507.38009199705,30.105067717492,517.227481954604,18.543080068359
2020-01-21,South America,Brazil,249158,26,4713,2357,42738243,86800,0.512747141851009,101.747550270156,86006768,0,0,24152,9571,1.74909709923037,69.55897848761,212600000,820.654008568973,37.8282534495887,15.8157574772667,15.4614711926708,40009.3619911508,37.2520589230826,473.693508890737,6.59910716206317
2020-01-23,South America,Brazil,373737,5884,7070,2357,59745702,7814,0.0323452879188975,230.349493873049,75246751,0,0,42467,13730,1.78198439387644,84.3519557708218,212600000,59.399651082868,21.4444677507705,17.878924774013,18.7019519316588,29722.9610085627,41.1290657117216,281.746661267917,4.13792900342819
2020-01-28,South America,Brazil,498316,6054,9427,2357,10699925,82025,0.116834736410681,242.870678308427,82673496,0,0,46185,5133,1.83614564083127,9.18933169980195,212600000,296.387332389075,44.5878844030586,7.98452963106326,16.4017232798225,24277.9149267605,26.434874838975,209.86493792337,5.17190664981534
2020-01-30,South America,Brazil,622895,1449,11784,2357,18133048,77223,0.0486274716352777,349.471195984286,2396611,0,0,98756,4705,2.1887783574016,79.4567563955316,212600000,874.582076580674,28.6315923432452,16.1916128201626,6.11823284353372,47369.32088484,30.7692213293875,533.4187508081,15.7438154472152
2020-02-01,South America,Brazil,747474,8219,14141,2357,24671251,60857,0.0787333682634816,441.528864616284,40164230,0,0,99819,14123,2.21117461426147,60.83236208454,212658333,571.9440251882,29.1474859296117,24.0696777575584,10.85773609837,23850.7189824412,36.3929251933127,790.673724764329,6.43795311228914
2020-02-07,South America,Brazil,872053,8120,16498,2357,56407173,89142,0.0858422776205822,94.8238150097683,62200050,0,0,3659,6345,1.72962268225209,29.8688106329956,212658333,943.720132718898,37.3826171678883,13.9309230419538,17.3697411160389,56962.4076318605,32.0386190025779,402.280338811853,18.632600039034
2020-02-07,South America,Brazil,996632,920,18855,2357,12140820,95072,0.156317221399238,142.919072331964,51449775,0,0,79742,10685,0.844386908224172,57.0949101942627,212658333,970.225596191838,45.0494301330926,5.71947299398763,18.4228095751417,44121.2375773803,15.0609441794101,492.312770775239,17.3932744471764
2020-02-13,South America,Brazil,1245791,7570,23569,0,36693309,57797,0.345274494418572,467.93798470305,73807331,0,0,35495,12693,0.809517202680297,42.1555620515726,212658333,177.919042533595,29.3459758563604,24.0196964022332,4.93884949141289,65561.5738726244,37.7272844066493,287.993776607203,11.5406091028444
2020-02-13,South America,Brazil,1245791,6305,23569,4714,66059129,13565,0.865149334771371,150.493254630892,81465219,0,0,44978,19908,0.687633542288371,89.0149996626139,212658333,609.374372623906,26.7524865072758,20.4471217214909,3.20781213833569,69397.2012133991,19.4186119264851,205.025459577115,13.2981566429276
2020-02-14,South America,Brazil,1370370,7269,25925,2356,95960521,6416,0.19077415201672,416.32575112632,14592255,0,0,32548,18997,1.13352563931972,11.5603472670937,212658333,461.585580488416,38.2065822557515,8.01429396398424,4.24808782439757,51604.0026840801,9.07672335393036,535.881945342695,6.40944857955524
2020-02-19,South America,Brazil,1494949,3998,28282,2357,98812896,93847,0.484253056230022,21.5404850029624,97616995,0,0,95481,2595,1.34803566763188,53.5385630470623,212658333,916.366775043055,28.9070434167567,10.8573839175163,4.87022691242813,41479.8300100416,31.5157619083398,484.224534683937,17.7489480361544
2020-02-20,South America,Brazil,1619528,6646,30639,2357,22737091,37049,0.838291193854114,97.278080594636,82826398,0,0,84278,9674,2.38675838141956,69.2168930842439,212658333,650.9723453866,42.4280943452298,12.369070114544,16.1345687521708,45331.0229207877,13.8852379064745,222.342173573063,12.0639441454797
2020-02-25,South America,Brazil,1744107,6534,32996,2357,29109395,67474,0.546046073358116,92.0902307423132,46121947,0,0,77445,4423,2.0109409867496,72.4996028561363,212658333,237.712216615013,42.8349803342382,22.4561238657769,13.9987483894266,30377.9687848152,49.2663267977632,150.42093372972,16.5168901046724
2020-03-03,South America,Brazil,1868686,6308,35353,2357,17455767,51500,0.0366316398496192,325.729592858035,10850321,0,0,11020,16476,0.723831632433843,79.6495072724443,212716667,487.854119483678,31.0268547572547,13.0158188996899,18.2813071365232,20820.0864897905,23.4212479169838,550.021956910761,11.7285410264194
2020-03-04,South America,Brazil,1993265,1814,37710,2357,98076573,50805,0.213484583698635,132.939242692549,76741333,0,0,79572,12429,1.22723607773202,2.1667417184168,212716667,178.029455464958,38.8053565550199,12.9301799255525,8.51720770741685,6415.03016862675,39.3259774626802,259.841145894808,1.88966331597226
2020-03-08,South America,Brazil,2491582,802,47138,0,18885935,92862,0.472914044534139,155.649886409504,50326407,0,0,86501,4737,2.10231276383941,69.9041594703102,212716667,858.374952178105,45.9835145996732,18.3756544882654,5.23714743271647,31540.3769076242,35.0132798715514,648.074275707543,2.25327016543715
2020-03-08,South America,Brazil,2491582,5185,47138,0,79527723,3980,0.972484562276159,187.793310482405,97617340,0,0,34894,17646,2.16887731284801,38.6875789721034,212716667,236.110394704795,24.9798050587649,12.8434269144432,8.78834300121951,6570.86530960094,43.4249370590966,239.122362697709,7.33911144523222
