date,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,hosp_patients,icu_patients,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence
2021-11-19,Asia,India,6423388,6423,107051,214,60016385,60016,0.5,128.31340195761393,55863236,35276326,27381132,12571,19642,1.6329466856855384,69.25933110655878,1241418161,67.39470159733389,49.88375058694491,8.649394523016287,16.052063327170146,44313.19995459504,20.827286167258386,177.83265469819304,16.296474056764595
2021-09-12,Europe,Russia,6550634,6550,481184,962,28666409,28666,0.5,335.5450872479594,63799592,67830632,12527528,82753,2713,0.5388948749562397,7.18528734990973,114516392,694.4099289619212,30.12682341266469,8.957853835258,4.423022088583192,8196.945011075877,20.478579009867705,470.99141993629786,8.57917008771817
2020-04-20,North America,Canada,4304572,4304,15116,30,80352550,80352,0.5,478.956275445074,68770121,68985000,41476316,48225,8595,0.9716045678717332,14.823246308495186,1152898402,784.4647293234743,22.64806311333646,9.33677830861303,18.77637154584994,52607.00005743781,11.92466378447884,415.88090793362096,14.989789148747883
2022-10-16,Europe,Germany,2234489,2234,20045,40,89212990,89212,0.1152912598836002,384.8184833957062,97546509,17081923,68932763,7227,13779,2.107027885099798,70.00750198695911,1342525124,403.46750798459993,42.95110895010883,5.3218942301444905,10.526519580237624,23297.98503691678,4.591400479247543,643.5104443885215,18.084095905880933
2021-05-15,North America,USA,9958614,9958,419543,839,5364240,5364,0.5,302.00899828758907,31976637,52813396,488830,41189,12164,0.9849733861684372,28.97233412135247,744943966,182.86969150732247,26.414731336084824,19.32176069525091,15.88917285219424,56126.82889457472,5.431329631270065,451.8467896933486,5.9714086554358845
2022-02-24,Europe,Germany,9524682,9524,35709,71,67769161,67769,0.5,495.31405413292833,19174474,67878019,66479423,14207,1546,1.960580394381895,21.043340127939945,306169513,38.530191389454856,35.98080078856117,12.992046845422712,5.133578133166321,42927.21400046139,29.95943491135813,436.81351731960456,5.587740847197446
2022-09-17,Europe,France,7204212,7204,305761,611,50107235,50107,0.2247641447753561,132.66333367134237,94541485,31644235,29921810,78208,2606,0.869268529859768,80.15261376293442,41073572,640.8731434922289,22.87404549801712,5.4534266376365785,18.75062614130965,22879.312806790786,19.84175258198827,603.6436848047113,7.853025172622177
2022-08-11,Europe,France,9628519,9628,453355,906,97474358,97474,0.5,31.17074395472369,20951549,42834681,44249112,53406,19209,1.7127351163987172,94.6246864173697,133425735,276.30347256856066,38.57851582450372,12.400150889316803,3.57475010731663,25584.214262843896,45.122769395810906,568.011523107014,8.950388712359743
2020-01-26,North America,Canada,4472471,4472,157977,315,6986481,6986,0.2634427593968093,16.06543305796554,47045186,3273438,6187941,41783,4206,1.7564227334010034,23.23806485383013,907512133,469.2506912500714,48.32022211709666,23.10736254230824,3.716331732402456,51474.00850697888,23.18683552438372,700.0,3.1098430506750465
2020-05-02,South America,Brazil,4523669,4523,457364,914,74336324,74336,0.2053398793390565,355.34393977939914,23487580,44909086,6698725,85587,3374,2.0039324513729637,31.71959562356853,862953579,392.49196644095554,41.681141378208736,15.224886339348895,3.927958263621398,38954.09274347885,25.17457878546742,346.36689052154736,5.394491158846591
2021-01-01,Asia,Italy,7404852,7404,203675,407,59884192,59884,0.2642439368122123,415.1161823670853,88247219,18968516,22497724,28879,13173,1.3766848017912798,71.40733060064102,1066894576,183.13594798798803,26.436043346798407,24.73504022692701,4.757938736379204,47116.22180632076,46.41224906481277,581.849598135566,17.591332498018353
2022-04-21,South America,Brazil,4981505,4981,229167,458,5507774,5507,0.5,317.5502687422633,15548509,28483123,62045437,28845,14627,1.765349398170945,81.52928705558762,344138879,513.2849817760971,49.13414135866582,15.799188637561125,11.276137946060487,11923.964154187992,25.08203697450977,217.0809890947868,11.765230537043667
2022-09-16,North America,Italy,1766891,1766,381923,763,76087778,76087,0.5,452.5132987215992,4895344,54559303,25224548,10015,6078,1.47393957744057,99.91623003272926,881433439,464.9975875133306,29.212607930736446,24.25597998102128,16.400699515954464,55301.39038376088,25.099098877715537,663.1925300645335,6.088585519469061
2020-10-21,North America,USA,4521373,4521,305063,610,72347128,72347,0.3289957746879688,348.9880236699602,78763398,31900158,40110207,82961,3323,2.394676090796626,27.337072325359923,1344878256,627.906146641134,33.09844959474063,9.036014576088254,7.844113134757628,23107.001005137397,18.15814901466505,650.3089329570004,18.92830008143283
